ava_id,name,ym,tmean_mean,tmean_min,tmean_max,ppt_mean,ppt_min,ppt_max
ancient_lakes_of_columbia_valley,Ancient Lakes of Columbia Valley,198101,2.6708204753318077,1.53000009059906,3.570000171661377,23.284646755962047,15.613600730895996,36.26300048828125
beverly_washington,Beverly Washington,198101,3.2817648579092586,2.9200000762939453,3.7200002670288086,18.286606059354895,18.025686264038086,18.5049991607666
candy_mountain,Candy Mountain,198101,3.186000108718872,3.1500000953674316,3.250000238418579,15.12810001373291,15.01624870300293,15.297836303710938
columbia_gorge,Columbia Gorge,198101,2.7824270738404997,0.6300000548362732,5.490000247955322,52.276564878234396,39.090999603271484,70.04199981689453
columbia_valley_19841213,Columbia Valley,198101,2.470132614827221,-1.0700000524520874,5.62000036239624,25.603580948767508,8.210982322692871,68.96299743652344
columbia_valley,Columbia Valley,198101,2.4653819082138306,-1.0700000524520874,5.62000036239624,25.63738527722178,8.210982322692871,68.96299743652344
columbia_valley_20010427,Columbia Valley,198101,2.4701436842209947,-1.0700000524520874,5.62000036239624,25.606521737394374,8.210982322692871,68.96299743652344
goose_gap,Goose Gap,198101,3.226909234307029,3.0400002002716064,3.440000057220459,15.324694529446688,14.140336036682129,16.587308883666992
horse_heaven_hills,Horse Heaven Hills,198101,2.7898250822536266,1.2700001001358032,4.240000247955322,25.207625342100798,14.188416481018066,39.79249954223633
lake_chelan,Lake Chelan,198101,1.4810929929062855,-1.100000023841858,2.200000047683716,41.91448228549113,39.93199920654297,44.573001861572266
lewis_clark_valley,Lewis-Clark Valley,198101,3.243160935189888,1.53000009059906,5.080000400543213,27.24305416063498,15.569999694824219,58.83599853515625
naches_heights,Naches Heights,198101,2.522302452908006,1.8100000619888306,3.6000001430511475,26.480431711950967,24.05699920654297,27.78700065612793
puget_sound,Puget Sound,198101,6.4557481903809135,3.000000238418579,8.039000511169434,61.14030517341447,12.675999641418457,258.9410095214844
rattlesnake_hills,Rattlesnake Hills,198101,2.7078728865439565,1.8500001430511475,3.760000228881836,20.700819438304862,14.202619552612305,23.42300033569336
red_mountain,Red Mountain,198101,3.2837501615285873,3.0900001525878906,3.4700002670288086,14.152853727340698,13.41708755493164,14.806474685668945
rocky_reach,Rocky Reach,198101,2.5751328705686385,1.5700000524520874,3.390000104904175,41.02069491833712,36.64799880981445,43.422000885009766
royal_slope,Royal Slope,198101,2.7848919809247024,1.6800000667572021,3.2300002574920654,16.064763040306588,10.958844184875488,21.367000579833984
snipes_mountain,Snipes Mountain,198101,3.104800138473511,2.830000162124634,3.2900002002716064,12.800908546447754,11.543550491333008,15.006046295166016
the_burn_of_columbia_valley,The Burn of Columbia Valley,198101,3.425632339784469,2.950000047683716,4.470000267028809,36.686367911854006,35.65299987792969,37.93199920654297
wahluke_slope,Wahluke Slope,198101,3.336654135498448,1.7500001192092896,4.360000133514404,17.342858570209447,15.465352058410645,19.570009231567383
walla_walla_valley_19840112,Walla Walla Valley,198101,3.1285786466854804,1.880000114440918,3.5500001907348633,26.395551483229834,19.499967575073242,63.84400177001953
walla_walla_valley,Walla Walla Valley,198101,3.1604367131913667,1.880000114440918,3.5500001907348633,26.00697068530573,18.464111328125,63.84400177001953
white_bluffs,White Bluffs,198101,3.0942571296042334,2.870000123977661,3.5900001525878906,11.128173745453543,9.853896141052246,12.177900314331055
yakima_valley_19830504,Yakima Valley,198101,3.0346899578592392,0.7500000596046448,4.190000057220459,19.718220397278113,10.809784889221191,41.69200134277344
yakima_valley,Yakima Valley,198101,3.0346467437379814,0.7500000596046448,4.190000057220459,19.71925642595269,10.809784889221191,41.69200134277344
ancient_lakes_of_columbia_valley,Ancient Lakes of Columbia Valley,198102,2.275972143421739,0.9200000166893005,3.9300003051757812,26.263405004598326,18.465351104736328,43.99800109863281
beverly_washington,Beverly Washington,198102,3.7247060046476475,3.0900001525878906,4.220000267028809,16.731045330272,15.329229354858398,17.871999740600586
candy_mountain,Candy Mountain,198102,3.9360002994537355,3.7400002479553223,4.080000400543213,21.02812385559082,20.919700622558594,21.115190505981445
columbia_gorge,Columbia Gorge,198102,2.952736059325652,0.9100000262260437,5.400000095367432,116.75115227372679,62.65599822998047,177.27699279785156
columbia_valley_19841213,Columbia Valley,198102,2.7549087317935954,-2.56000018119812,5.470000267028809,36.60140039847487,9.41211223602295,177.37899780273438
columbia_valley,Columbia Valley,198102,2.7489825797424583,-2.56000018119812,5.470000267028809,36.608462311768015,9.41211223602295,177.37899780273438
columbia_valley_20010427,Columbia Valley,198102,2.7549716179038843,-2.56000018119812,5.470000267028809,36.61631701592276,9.41211223602295,177.37899780273438
goose_gap,Goose Gap,198102,4.047018367593939,3.7200002670288086,4.340000152587891,21.2858885678378,20.708650588989258,21.89575958251953
horse_heaven_hills,Horse Heaven Hills,198102,3.5322899543345585,1.5000001192092896,4.900000095367432,25.908393391348742,19.945749282836914,37.05500030517578
lake_chelan,Lake Chelan,198102,0.8858407481482863,-1.1600000858306885,1.7500001192092896,54.14586276501681,49.65599822998047,75.1709976196289
lewis_clark_valley,Lewis-Clark Valley,198102,3.6493670655457118,1.2400000095367432,5.830000400543213,51.98047871808059,20.39699935913086,110.52300262451172
naches_heights,Naches Heights,198102,2.0228954428850217,1.3000000715255737,2.8400001525878906,34.6201589273852,24.57699966430664,45.099998474121094
puget_sound,Puget Sound,198102,5.8703920668679945,2.56000018119812,7.690000534057617,137.32443150367365,42.324188232421875,395.9739990234375
